student_id,term,week,date,attendance_rate
S2000,Term1,1,2024-01-10,90.17015206203696
S2000,Term1,2,2024-01-17,87.83850632337835
S2000,Term1,3,2024-01-24,94.20475227387642
S2000,Term1,4,2024-01-31,91.4558040658113
S2000,Term1,5,2024-02-07,93.6141547479552
S2000,Term1,6,2024-02-14,100.0
S2000,Term1,7,2024-02-21,95.60349458765167
S2000,Term1,8,2024-02-28,83.07416535605725
S2000,Term1,9,2024-03-06,71.525186127078
S2000,Term1,10,2024-03-13,100.0
S2000,Term1,11,2024-03-20,82.14731951983465
S2000,Term1,12,2024-03-27,79.32271103967373
S2000,Term2,1,2024-04-03,64.15927818682673
S2000,Term2,2,2024-04-10,89.06167726374534
S2000,Term2,3,2024-04-17,86.78663924744524
S2000,Term2,4,2024-04-24,66.81862076500623
S2000,Term2,5,2024-05-01,90.43928850559811
S2000,Term2,6,2024-05-08,79.02169695158273
S2000,Term2,7,2024-05-15,100.0
S2000,Term2,8,2024-05-22,78.16766569490959
S2000,Term2,9,2024-05-29,79.77768001362648
S2000,Term2,10,2024-06-05,74.50268530894759
S2000,Term2,11,2024-06-12,100.0
S2000,Term2,12,2024-06-19,80.52669046642296
S2000,Term3,1,2024-06-26,76.30103015481404
S2000,Term3,2,2024-07-03,93.48346011904651
S2000,Term3,3,2024-07-10,68.43576477504178
S2000,Term3,4,2024-07-17,92.50132655498737
S2000,Term3,5,2024-07-24,100.0
S2000,Term3,6,2024-07-31,91.79929399402107
S2000,Term3,7,2024-08-07,92.6547797951191
S2000,Term3,8,2024-08-14,95.4407226028898
S2000,Term3,9,2024-08-21,100.0
S2000,Term3,10,2024-08-28,99.51872752022925
S2000,Term3,11,2024-09-04,90.27603666727629
S2000,Term3,12,2024-09-11,95.84669680763201
S2001,Term1,1,2024-01-10,74.36878089441868
S2001,Term1,2,2024-01-17,94.31552308896786
S2001,Term1,3,2024-01-24,72.93332834579503
S2001,Term1,4,2024-01-31,80.59573097642048
S2001,Term1,5,2024-02-07,48.00925389828115
S2001,Term1,6,2024-02-14,89.81715591240955
S2001,Term1,7,2024-02-21,77.27353586669977
S2001,Term1,8,2024-02-28,98.33374258245355
S2001,Term1,9,2024-03-06,89.68231132726483
S2001,Term1,10,2024-03-13,98.4891507364195
S2001,Term1,11,2024-03-20,71.99684146392954
